 ,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year
125,107,Bobby Portis,27,MIL,PF,70,22,26.0,5.7,11.5,.496,1.4,3.7,.370,4.3,7.8,.555,.555,1.4,1.8,.768,2.2,7.4,9.6,1.5,0.4,0.2,1.2,1.6,14.1,6MOY-3,2023
126,108,Jonas Valančiūnas,30,NOP,C,79,79,24.9,5.6,10.3,.547,0.5,1.4,.349,5.2,8.9,.577,.570,2.3,2.8,.826,2.8,7.3,10.2,1.8,0.3,0.7,2.0,3.1,14.1,,2023
127,109,Jalen Williams,21,OKC,SG,75,62,30.3,5.5,10.6,.521,1.0,2.7,.356,4.5,7.9,.579,.567,2.1,2.5,.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,ROY-2,2023
128,110,Bogdan Bogdanović,30,ATL,SG,54,9,27.9,5.1,11.3,.447,2.7,6.7,.406,2.4,4.6,.506,.566,1.2,1.4,.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0,,2023
129,111,Markelle Fultz,24,ORL,PG,60,60,29.6,5.8,11.3,.514,0.5,1.5,.310,5.4,9.9,.544,.534,1.9,2.4,.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14.0,,2023
130,112,Chris Paul,37,PHO,PG,59,59,32.0,5.0,11.3,.440,1.7,4.4,.375,3.3,6.9,.482,.513,2.3,2.7,.831,0.5,3.8,4.3,8.9,1.5,0.4,1.9,2.1,13.9,,2023
131,113,Saddiq Bey,23,2TM,SF,77,37,27.6,4.6,10.9,.422,2.0,5.4,.361,2.6,5.4,.483,.513,2.7,3.1,.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,,2023
132,113,Saddiq Bey,23,DET,SF,52,30,28.8,4.7,11.7,.404,1.9,5.6,.345,2.8,6.0,.460,.488,3.5,4.0,.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8,,2023
133,113,Saddiq Bey,23,ATL,SF,25,7,25.2,4.3,9.2,.470,2.0,5.0,.400,2.3,4.2,.552,.578,1.0,1.2,.862,1.6,3.2,4.8,1.4,0.8,0.0,0.7,1.5,11.6,,2023
134,114,Luguentz Dort,23,OKC,SF,74,73,30.7,4.6,11.8,.388,1.8,5.5,.330,2.8,6.3,.440,.466,2.7,3.5,.772,1.7,2.9,4.6,2.1,1.0,0.3,1.2,3.3,13.7,,2023
135,115,Malik Monk,24,SAC,SG,77,0,22.3,4.6,10.3,.448,1.9,5.2,.359,2.8,5.2,.538,.538,2.4,2.7,.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5,6MOY-5,2023
136,116,Rudy Gobert,30,MIN,C,70,70,30.7,5.1,7.8,.659,0.0,0.0,.000,5.1,7.8,.663,.659,3.1,4.9,.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3.0,13.4,,2023
137,117,Jusuf Nurkić,28,POR,C,52,52,26.8,5.0,9.7,.519,0.8,2.3,.361,4.2,7.4,.567,.561,2.4,3.7,.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,,2023
138,118,Kris Dunn,28,UTA,PG,22,3,25.8,5.3,9.8,.537,0.8,1.6,.472,4.5,8.2,.550,.576,1.9,2.4,.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2,,2023
